ID,Class,Lable,Name,Status_1,Status_2
345,device,Mb_displacement_actuator,Mb_displacement_actuator_02_2,step_length,
346,device,Mb_displacement_actuator,Mb_displacement_actuator_02_3,step_length,
347,device,Mb_displacement_actuator,Mb_displacement_actuator_03_1,step_length,
348,device,Mb_displacement_actuator,Mb_displacement_actuator_03_2,step_length,
349,device,Mb_displacement_actuator,Mb_displacement_actuator_03_3,step_length,
350,device,Mb_displacement_actuator,Mb_displacement_actuator_04_1,step_length,
351,device,Mb_displacement_actuator,Mb_displacement_actuator_04_2,step_length,
352,device,Mb_displacement_actuator,Mb_displacement_actuator_04_3,step_length,
353,device,Mb_displacement_actuator,Mb_displacement_actuator_05_1,step_length,
354,device,Mb_displacement_actuator,Mb_displacement_actuator_05_2,step_length,
355,device,Mb_displacement_actuator,Mb_displacement_actuator_05_3,step_length,
356,device,Mb_displacement_actuator,Mb_displacement_actuator_06_1,step_length,
357,device,Mb_displacement_actuator,Mb_displacement_actuator_06_2,step_length,
358,device,Mb_displacement_actuator,Mb_displacement_actuator_06_3,step_length,
359,device,Mb_displacement_actuator,Mb_displacement_actuator_07_1,step_length,
360,device,Mb_displacement_actuator,Mb_displacement_actuator_07_2,step_length,
361,device,Mb_displacement_actuator,Mb_displacement_actuator_07_3,step_length,
362,device,Mb_displacement_actuator,Mb_displacement_actuator_08_1,step_length,
363,device,Mb_displacement_actuator,Mb_displacement_actuator_08_2,step_length,
364,device,Mb_displacement_actuator,Mb_displacement_actuator_08_3,step_length,
365,device,Mb_displacement_actuator,Mb_displacement_actuator_09_1,step_length,
366,device,Mb_displacement_actuator,Mb_displacement_actuator_09_2,step_length,
367,device,Mb_displacement_actuator,Mb_displacement_actuator_09_3,step_length,
368,device,Mb_displacement_actuator,Mb_displacement_actuator_10_1,step_length,
369,device,Mb_displacement_actuator,Mb_displacement_actuator_10_2,step_length,
370,device,Mb_displacement_actuator,Mb_displacement_actuator_10_3,step_length,
371,device,Mb_displacement_actuator,Mb_displacement_actuator_11_1,step_length,
372,device,Mb_displacement_actuator,Mb_displacement_actuator_11_2,step_length,
373,device,Mb_displacement_actuator,Mb_displacement_actuator_11_3,step_length,
374,device,Mb_displacement_actuator,Mb_displacement_actuator_12_1,step_length,
375,device,Mb_displacement_actuator,Mb_displacement_actuator_12_2,step_length,
376,device,Mb_displacement_actuator,Mb_displacement_actuator_12_3,step_length,
377,device,Mb_displacement_actuator,Mb_displacement_actuator_13_1,step_length,
378,device,Mb_displacement_actuator,Mb_displacement_actuator_13_2,step_length,
379,device,Mb_displacement_actuator,Mb_displacement_actuator_13_3,step_length,
380,device,Mb_displacement_actuator,Mb_displacement_actuator_14_1,step_length,
381,device,Mb_displacement_actuator,Mb_displacement_actuator_14_2,step_length,
382,device,Mb_displacement_actuator,Mb_displacement_actuator_14_3,step_length,
383,device,Mb_displacement_actuator,Mb_displacement_actuator_15_1,step_length,
384,device,Mb_displacement_actuator,Mb_displacement_actuator_15_2,step_length,
385,device,Mb_displacement_actuator,Mb_displacement_actuator_15_3,step_length,
386,device,Mb_displacement_actuator,Mb_displacement_actuator_16_1,step_length,
387,device,Mb_displacement_actuator,Mb_displacement_actuator_16_2,step_length,
388,device,Mb_displacement_actuator,Mb_displacement_actuator_16_3,step_length,
389,device,Mb_displacement_actuator,Mb_displacement_actuator_17_1,step_length,
390,device,Mb_displacement_actuator,Mb_displacement_actuator_17_2,step_length,
391,device,Mb_displacement_actuator,Mb_displacement_actuator_17_3,step_length,
392,device,Mb_displacement_actuator,Mb_displacement_actuator_18_1,step_length,
393,device,Mb_displacement_actuator,Mb_displacement_actuator_18_2,step_length,
394,device,Mb_displacement_actuator,Mb_displacement_actuator_18_3,step_length,
395,device,Mb_displacement_actuator,Mb_displacement_actuator_19_1,step_length,
396,device,Mb_displacement_actuator,Mb_displacement_actuator_19_2,step_length,
397,device,Mb_displacement_actuator,Mb_displacement_actuator_19_3,step_length,
398,device,Mb_displacement_actuator,Mb_displacement_actuator_20_1,step_length,
399,device,Mb_displacement_actuator,Mb_displacement_actuator_20_2,step_length,
400,device,Mb_displacement_actuator,Mb_displacement_actuator_20_3,step_length,
401,device,Mb_displacement_actuator,Mb_displacement_actuator_21_1,step_length,
402,device,Mb_displacement_actuator,Mb_displacement_actuator_21_2,step_length,
403,device,Mb_displacement_actuator,Mb_displacement_actuator_21_3,step_length,
